_RAJ2000,_DEJ2000,rest,g,r,i,J,H,K,W1,W2,W3,W4
45.17287583,0.403600117,603.1263268,3.75595857,3.24395857,3.07195857,2.11295857,1.75195857,1.70095857,1.66195857,1.69095857,1.59895857,0.02495857
45.19594394,0.390387147,1411.985852,6.896848274,5.495848274,4.781848274,3.168848274,2.465848274,2.279848274,2.176848274,2.164848274,1.496848274,-1.669151726
45.14434738,0.413145694,508.2850771,7.374463203,6.072463203,5.535463203,4.324463203,3.771463203,3.395463203,3.108463203,3.197463203,3.202463203,0.335463203
45.14357861,0.413271587,440.0264097,7.687606285,6.385606285,5.848606285,4.637606285,4.084606285,3.708606285,3.421606285,3.510606285,3.515606285,0.648606285
44.81418841,0.167624994,907.661343,7.497380803,6.500380803,6.151380803,4.820380803,4.288380803,4.152380803,4.104380803,4.181380803,2.981380803,-0.777619197
44.80634866,0.173536388,507.9973059,8.757692955,7.760692955,7.411692955,7.663692955,6.983692955,6.993692955,6.612692955,6.439692955,4.283692955,0.449692955
44.80245676,0.184087946,302.6381317,8.635381764,8.202381764,8.025381764,9.312381764,8.312381764,8.205381764,7.874381764,7.781381764,5.247381764,1.757381764
44.79582894,0.184016732,1555.925057,5.080056626,4.647056626,4.470056626,3.542056626,3.215056626,3.213056626,3.069056626,3.116056626,1.761056626,-2.443943374
44.78104514,0.257445616,2051.083471,4.694083326,4.296083326,4.035083326,3.330083326,3.041083326,2.969083326,2.914083326,2.896083326,0.700083326,-3.024916674
44.78104514,0.257445616,2051.083471,4.714083326,4.336083326,4.160083326,3.330083326,3.041083326,2.969083326,2.914083326,2.896083326,0.700083326,-3.024916674
44.78104514,0.257445616,2051.083471,4.691083326,4.330083326,4.045083326,3.330083326,3.041083326,2.969083326,2.914083326,2.896083326,0.700083326,-3.024916674
44.83520951,0.255659679,1446.10612,4.92299918,4.44499918,4.26199918,3.37199918,3.10599918,2.95799918,2.86099918,2.88299918,1.55699918,-1.57400082
44.80172514,0.256419025,722.1924406,6.388735309,5.764735309,5.665735309,4.272735309,3.867735309,3.735735309,3.583735309,3.578735309,2.813735309,-0.199264691
44.80172514,0.256419025,722.1924406,6.551735309,5.799735309,5.557735309,4.272735309,3.867735309,3.735735309,3.583735309,3.578735309,2.813735309,-0.199264691
44.80172514,0.256419025,722.1924406,6.460735309,5.755735309,5.450735309,4.272735309,3.867735309,3.735735309,3.583735309,3.578735309,2.813735309,-0.199264691
44.80079595,0.263863926,507.7626269,7.153696339,6.529696339,6.430696339,7.891696339,7.469696339,7.051696339,6.725696339,6.730696339,4.181696339,0.395696339
44.80079595,0.263863926,507.7626269,7.316696339,6.564696339,6.322696339,7.891696339,7.469696339,7.051696339,6.725696339,6.730696339,4.181696339,0.395696339
44.80079595,0.263863926,507.7626269,7.225696339,6.520696339,6.215696339,7.891696339,7.469696339,7.051696339,6.725696339,6.730696339,4.181696339,0.395696339
44.81507334,0.283538171,215.8357328,10.14938327,8.759383269,7.987383269,6.388383269,5.751383269,5.555383269,5.412383269,5.360383269,5.285383269,2.453383269
44.91462594,0.275953143,728.4063194,8.041131475,7.567131475,6.980131475,5.878131475,5.159131475,5.010131475,4.780131475,4.681131475,3.207131475,-0.214868525
44.9114317,0.277046438,2186.426137,5.654325948,5.180325948,4.593325948,3.930325948,3.602325948,3.347325948,3.365325948,3.433325948,1.113325948,-2.524674052
44.87069904,0.308132079,1616.345676,5.894328771,5.336328771,4.972328771,4.128328771,3.725328771,3.645328771,3.624328771,3.641328771,1.774328771,-1.905671229
44.87285767,0.332087613,475.3279936,5.07303304,4.36403304,4.26703304,3.38503304,3.08703304,3.01503304,2.90403304,2.95403304,2.87003304,0.80703304
44.87285767,0.332087613,475.3279936,4.99503304,4.43603304,4.26503304,3.38503304,3.08703304,3.01503304,2.90403304,2.95403304,2.87003304,0.80703304
44.87530626,0.333079908,793.6231014,3.959928494,3.250928494,3.153928494,3.736928494,3.444928494,3.358928494,3.274928494,3.266928494,3.081928494,-0.516071506
44.87530626,0.333079908,793.6231014,3.881928494,3.322928494,3.151928494,3.736928494,3.444928494,3.358928494,3.274928494,3.266928494,3.081928494,-0.516071506
44.76204928,0.320026598,1747.69494,5.540671856,5.049671856,4.785671856,4.113671856,3.520671856,3.567671856,3.389671856,3.409671856,1.364671856,-2.856328144
44.79158321,0.306014055,695.5971039,5.961211174,5.162211174,4.869211174,7.716211174,7.176211174,6.509211174,6.674211174,6.252211174,3.475211174,-0.540788826
44.79158321,0.306014055,695.5971039,5.939211174,5.128211174,4.810211174,7.716211174,7.176211174,6.509211174,6.674211174,6.252211174,3.475211174,-0.540788826
44.79151451,0.312900937,495.819716,6.696381039,5.897381039,5.604381039,4.436381039,3.945381039,3.827381039,3.725381039,3.769381039,3.338381039,0.298381039
44.79151451,0.312900937,495.819716,6.674381039,5.863381039,5.545381039,4.436381039,3.945381039,3.827381039,3.725381039,3.769381039,3.338381039,0.298381039
44.69440297,0.318797834,1381.314268,6.521537511,5.849537511,5.433537511,4.635537511,4.252537511,3.979537511,4.188537511,4.229537511,1.688537511,-1.812462489
44.73948347,0.331778211,1143.377062,6.936052623,6.266052623,5.730052623,4.806052623,4.346052623,4.237052623,4.224052623,4.299052623,1.824052623,-1.873947377
44.83869751,0.340601037,686.5907975,5.110510109,4.622510109,4.452510109,7.553510109,6.680510109,6.515510109,6.257510109,5.949510109,3.571510109,-0.169489891
44.83839831,0.344781916,915.3670525,4.486023618,3.998023618,3.828023618,2.885023618,2.584023618,2.485023618,2.409023618,2.433023618,2.244023618,-0.923976382
44.75454932,0.351989162,1052.057739,6.401802123,4.910802123,4.098802123,5.609802123,4.902802123,4.898802123,4.733802123,4.828802123,2.519802123,-1.645197877
44.75454932,0.351989162,1052.057739,6.367802123,4.973802123,4.181802123,5.609802123,4.902802123,4.898802123,4.733802123,4.828802123,2.519802123,-1.645197877
44.76337237,0.35291221,193.4477389,10.07918171,8.588181711,7.776181711,6.221181711,5.488181711,5.361181711,5.236181711,5.208181711,5.348181711,2.611181711
44.76337237,0.35291221,193.4477389,10.04518171,8.651181711,7.859181711,6.221181711,5.488181711,5.361181711,5.236181711,5.208181711,5.348181711,2.611181711
44.74999699,0.37311408,2094.515433,5.430582176,4.952582176,4.693582176,3.781582176,3.433582176,3.376582176,3.379582176,3.467582176,1.156582176,-2.437417824
44.85093368,0.398489016,414.6537064,4.193572242,3.502572242,3.242572242,2.084572242,1.664572242,1.518572242,1.438572242,1.502572242,1.432572242,0.553572242
44.84182659,0.407632906,1009.938445,2.260525477,1.569525477,1.309525477,5.343525477,4.791525477,4.599525477,4.526525477,4.609525477,2.881525477,-1.393474523
44.96675832,0.327289613,340.9797777,9.602356884,8.379356884,7.864356884,6.308356884,5.612356884,5.574356884,5.407356884,5.378356884,4.691356884,0.870356884
44.96675832,0.327289613,340.9797777,9.609356884,8.376356884,7.841356884,6.308356884,5.612356884,5.574356884,5.407356884,5.378356884,4.691356884,0.870356884
44.96675832,0.327289613,340.9797777,9.543356884,8.419356884,7.883356884,6.308356884,5.612356884,5.574356884,5.407356884,5.378356884,4.691356884,0.870356884
45.01027302,0.35109997,168.187406,4.231032638,3.905032638,3.811032638,3.060032638,2.754032638,2.731032638,2.690032638,2.703032638,2.681032638,2.385032638
45.03341143,0.348407174,2200.681661,5.866213878,5.308213878,5.261213878,4.113213878,3.902213878,3.439213878,3.464213878,3.521213878,0.546213878,-3.014786122
45.04972882,0.37048944,435.8507406,7.858311059,6.859311059,6.496311059,5.166311059,4.617311059,4.482311059,4.417311059,4.480311059,4.043311059,0.970311059
45.01220605,0.374621784,2353.04261,5.519851042,5.076851042,4.567851042,3.787851042,3.610851042,3.595851042,3.133851042,3.173851042,0.219851042,-2.999148958
44.96661606,0.353285068,1118.628978,6.947569672,6.139569672,5.715569672,4.652569672,4.053569672,4.098569672,3.899569672,3.910569672,2.048569672,-1.848430328
44.96661606,0.353285068,1118.628978,6.963569672,6.075569672,5.768569672,4.652569672,4.053569672,4.098569672,3.899569672,3.910569672,2.048569672,-1.848430328
44.96883822,0.355920238,1130.678567,6.924304201,6.116304201,5.692304201,6.338304201,5.340304201,4.694304201,5.252304201,5.225304201,2.489304201,-1.028695799
44.96883822,0.355920238,1130.678567,6.940304201,6.052304201,5.745304201,6.338304201,5.340304201,4.694304201,5.252304201,5.225304201,2.489304201,-1.028695799
45.00218192,0.390595267,809.6710375,7.213456977,6.647456977,6.446456977,7.407456977,6.658456977,6.191456977,6.413456977,6.391456977,2.715456977,-0.563543023
45.00305609,0.392417028,1315.262036,6.159938576,5.593938576,5.392938576,4.439938576,3.977938576,3.932938576,3.771938576,3.742938576,1.625938576,-1.699061424
45.00681627,0.409474426,730.6243819,7.195529195,6.273529195,5.775529195,4.822529195,4.321529195,4.213529195,4.136529195,4.186529195,3.005529195,-0.085470805
45.00681627,0.409474426,730.6243819,7.039529195,6.235529195,5.944529195,4.822529195,4.321529195,4.213529195,4.136529195,4.186529195,3.005529195,-0.085470805
45.00681627,0.409474426,730.6243819,7.098529195,6.293529195,5.976529195,4.822529195,4.321529195,4.213529195,4.136529195,4.186529195,3.005529195,-0.085470805
45.0167387,0.417498033,2305.806192,4.699885994,3.777885994,3.279885994,4.232885994,4.074885994,3.661885994,3.892885994,3.826885994,0.370885994,-2.618114006
45.0167387,0.417498033,2305.806192,4.543885994,3.739885994,3.448885994,4.232885994,4.074885994,3.661885994,3.892885994,3.826885994,0.370885994,-2.618114006
45.0167387,0.417498033,2305.806192,4.602885994,3.797885994,3.480885994,4.232885994,4.074885994,3.661885994,3.892885994,3.826885994,0.370885994,-2.618114006
45.03878245,0.413041542,2116.872317,5.985526682,5.389526682,5.270526682,4.211526682,3.895526682,4.137526682,3.884526682,3.962526682,1.020526682,-3.017473318
45.14998332,0.443260729,750.7898302,3.542408094,3.084408094,2.931408094,1.979408094,1.706408094,1.651408094,1.588408094,1.608408094,1.778408094,-0.958591906
45.12122396,0.462283857,278.7295188,8.534085175,7.208085175,6.894085175,5.365085175,4.736085175,4.579085175,4.516085175,4.562085175,4.740085175,1.795085175
45.12122396,0.462283857,278.7295188,8.504085175,7.222085175,6.760085175,5.365085175,4.736085175,4.579085175,4.516085175,4.562085175,4.740085175,1.795085175
45.12122396,0.462283857,278.7295188,8.511085175,7.287085175,6.817085175,5.365085175,4.736085175,4.579085175,4.516085175,4.562085175,4.740085175,1.795085175
