ALLWISE_RAJ2000,ALLWISE_DEJ2000,ALLWISE_W1mag,ALLWISE_W2mag,ALLWISE_W3mag,ALLWISE_W4mag,ALLWISE_Jmag,ALLWISE_Hmag,ALLWISE_Kmag,APASS_RAJ2000,APASS_DEJ2000,APASS_g'mag,APASS_r'mag,APASS_i'mag,OB star?
0.233248123,0.117485499,0.504577587,0.521816988,0.677371924,0.788731096,0.680126325,0.624122527,0.617073686,0.233247826,0.117485407,0.887419493,0.950930144,0.87870786,0
0.231294409,0.116591262,0.553250666,0.570763445,0.745318062,0.791036518,0.732912249,0.687087854,0.674994722,0.231294252,0.116591287,0.916960069,1.014996203,0.932312296,0
0.230526491,0.115233984,0.504519643,0.521637916,0.674044266,0.773699742,0.685991428,0.624406155,0.615806883,0.230526533,0.115233778,0.901760412,0.958143508,0.883725024,0
0.22981581,0.112178727,0.523815042,0.541216499,0.702290667,0.781538178,0.706895255,0.649932638,0.6390316,0.229815817,0.112178728,0.925805067,0.982536067,0.901065047,0
0.230191071,0.107215112,0.519469232,0.537097833,0.698653459,0.82838436,0.697120084,0.648939942,0.637483285,0.230191052,0.107215185,0.888192357,0.954441913,0.878883901,0
0.234935709,0.116170136,0.23629621,0.235539903,0.310942579,0.360475839,0.402135499,0.323902716,0.293405588,0.234935392,0.116170004,0.8939459,0.83001139,0.678901505,0
0.233821837,0.104160849,0.536736586,0.553035277,0.712351029,0.754887495,0.715241747,0.666737574,0.65500739,0.233822159,0.104161086,0.912924002,1,0.920781621,0
0.232662423,0.103802482,0.528624406,0.547066197,0.703838415,0.769088897,0.718851041,0.654683401,0.646210148,0.232662297,0.103802598,0.95027909,1.015375854,0.925182642,0
0.231754151,0.104164536,0.517962684,0.534710201,0.693623278,0.774806345,0.695916986,0.640714742,0.634034767,0.231754076,0.104164697,0.90193216,0.963838269,0.889446352,0
0.231809004,0.11760692,0.565882489,0.583835731,0.748490946,0.770287717,0.762989698,0.706658158,0.69477092,0.231808959,0.117606666,0.985143839,1.061788155,0.977114691,0
0.231844406,0.117678473,0.367539692,0.376410195,0.496904504,0.595721136,0.577562223,0.500815429,0.486029981,0.231844806,0.117675775,0.881150708,0.898348519,0.791655664,0
0.235481691,0.106054411,0.083033955,0.086969498,0.185110664,0.2025083,0.329648846,0.22661845,0.195721022,0.235481581,0.106054722,0.852984113,0.768982536,0.576797817,0
0.233075383,0.103445873,0.57358906,0.591118009,0.760331218,0.826078938,0.753289721,0.707154506,0.698641706,0.233075074,0.103445781,0.905968227,1.002657555,0.936361236,0
0.232965197,0.103414639,0.330803106,0.342028293,0.439869989,0.512264847,0.506053087,0.425015954,0.403898937,0.232964591,0.103414095,0.924774581,0.880979499,0.763225068,0
0.236132763,0.113466522,0.520512226,0.5405599,0.693081566,0.792327554,0.732009926,0.653832518,0.636920262,0.236132857,0.113466639,1.059768141,1.091875475,0.979843324,0
0.234901784,0.104705503,0.579557307,0.59792276,0.771088067,0.802286979,0.775020678,0.717506913,0.708916884,0.234901602,0.10470548,0.975869472,1.057896735,0.979755303,0
0.229818362,0.10715482,0.438347433,0.456097415,0.587989475,0.666174843,0.630498534,0.55796639,0.542965726,0.22981831,0.107154787,0.94504079,0.96175019,0.85978347,0
0.233846892,0.103531667,0.512689767,0.529696174,0.682943817,0.74732571,0.689375141,0.637382117,0.626926596,0.233846783,0.103531756,0.902361529,0.961370539,0.894991638,0
0.234400774,0.103975643,0.545775872,0.562108279,0.730924006,0.751844338,0.734416122,0.679217188,0.667745795,0.234400664,0.103975693,0.96101331,1.028948368,0.946307543,0
0.23640894,0.109826167,0.503708425,0.518832448,0.670252283,0.779601623,0.681329423,0.62816422,0.615103104,0.236408807,0.109826185,0.912237012,0.965736522,0.882580759,0
0.232254136,0.118337936,0.609746205,0.629797648,0.823634112,0.819715972,0.803819836,0.753527618,0.745020761,0.232253981,0.118337942,0.974323744,1.086940015,1.009946308,0
0.229432548,0.109010395,0.438347433,0.457052468,0.586906052,0.694946514,0.62959621,0.553924697,0.541347034,0.22943237,0.109010454,0.966680979,0.973899013,0.867705308,0
0.235107209,0.116888246,0.544037548,0.554288784,0.659495434,0.672537809,0.717497556,0.671913777,0.659581955,0.235107146,0.116888226,0.881236582,0.954441913,0.89534372,0
0.235289885,0.105090409,0.391065013,0.41025488,0.526543879,0.610291405,0.57523122,0.501453591,0.486029981,0.235289836,0.105090396,0.920996136,0.915337889,0.812164422,0
0.229322664,0.111627505,0.530710395,0.547543724,0.709565083,0.769918849,0.709376645,0.659150535,0.647758463,0.22932262,0.111627525,0.914126234,0.97769552,0.904057741,0
0.235201815,0.104906573,0.52868235,0.545573927,0.706779136,0.825986721,0.71321152,0.655037935,0.644309944,0.235201859,0.104906518,0.93636754,1.004840547,0.913035824,0
0.233098588,0.103091384,0.503128984,0.519906882,0.675359851,0.788362228,0.669072863,0.623697086,0.61454008,0.233098436,0.10309146,0.857191928,0.92245634,0.852125693,0
0.234320681,0.118044224,0.51048789,0.528621739,0.682866429,0.787808927,0.688548011,0.629582358,0.621366739,0.234320651,0.118044008,0.913696866,0.965356872,0.887245841,0
0.233936731,0.118340635,0.455556843,0.47131857,0.611515245,0.758483954,0.617414843,0.564986173,0.554296573,0.23393645,0.118340114,0.857621297,0.87357631,0.810227973,0
0.233921991,0.10317106,0.535230038,0.552975586,0.714285714,0.813906308,0.72193398,0.664255832,0.653529453,0.233922076,0.103171196,0.952254186,1.019172361,0.935393011,0
0.23010783,0.116155146,-0.046529146,-0.04393243,0.057421452,0.029324972,0.198511166,0.120187194,0.096488141,0.230107322,0.116154959,0.782911121,0.731112377,0.499515888,0
0.233957939,0.11851198,0.278247769,0.275174596,0.368828355,0.433142752,0.413339349,0.352052755,0.340418045,0.233957686,0.11851172,0.721597252,0.701879271,0.616847109,0
0.236108645,0.115047554,0.378896744,0.397122903,0.512536759,0.600977499,0.558387849,0.488123094,0.468013231,0.236109248,0.115047409,0.886646629,0.876044039,0.783557785,0
0.229186591,0.112467072,0.46222042,0.480630335,0.6173193,0.769642198,0.651026393,0.580727505,0.566331199,0.229186546,0.112466974,0.9391155,0.965926348,0.871490186,0
0.229044482,0.110650722,0.601228416,0.619888975,0.7942269,0.766506824,0.795623731,0.745373325,0.734252938,0.229044411,0.110650721,0.980077286,1.069286257,0.992078162,0
0.229626469,0.106382325,0.606385444,0.625380529,0.783856988,0.697989672,0.804797353,0.751754946,0.741431487,0.229626388,0.106382426,1.007900386,1.09595672,1.015051492,0
0.232699594,0.102403956,0.48684668,0.502656241,0.654929577,0.747879011,0.649372133,0.605615826,0.595608417,0.232699413,0.102403904,0.812709317,0.883731967,0.828184139,0
0.236000021,0.105669835,0.387704253,0.40506178,0.51725739,0.602545186,0.601548989,0.504077147,0.478499543,0.235999982,0.105670068,1.060970374,1.023917995,0.88284482,0
0.236793038,0.112012234,0.573415228,0.592252134,0.768379508,0.782921431,0.754793594,0.70821811,0.697937927,0.236792993,0.112012279,0.925719193,1.011009871,0.945427339,0
0.236258874,0.115313685,0.377274308,0.388348356,0.50417892,0.582165253,0.544176254,0.477628873,0.461890351,0.236258905,0.115313814,0.873507943,0.854214123,0.76155268,0
0.235406321,0.11748383,0.528160853,0.546170835,0.710725894,0.791497602,0.690352658,0.649152663,0.641776339,0.235406332,0.117483805,0.866981537,0.91818527,0.866913124,0
